attendance,marks,study_hours,result
76,70,3.5,Fail
77,59,3.0,Pass
76,69,3.0,Pass
58,20,5.0,Fail
69,51,4.0,Pass
60,60,4.0,Pass
81,76,6.5,Pass
90,61,4.0,Pass
35,43,2.5,Pass
52,42,4.0,Pass
52,41,3.0,Pass
70,56,7.0,Pass
35,30,0.5,Pass
67,40,4.5,Fail
56,46,2.0,Fail
48,46,3.5,Pass
75,36,3.0,Fail
71,45,3.0,Pass
84,49,3.5,Fail
97,86,8.0,Pass
75,56,3.5,Fail
99,66,3.5,Pass
58,28,2.0,Pass
58,67,5.5,Pass
81,81,5.0,Pass
61,59,6.0,Pass
40,50,4.0,Pass
56,35,2.5,Fail
54,46,2.5,Fail
60,53,3.0,Pass
40,39,1.5,Pass
68,30,2.0,Fail
69,64,5.5,Pass
91,66,7.0,Pass
71,59,2.5,Pass
85,54,3.0,Pass
73,43,0.5,Fail
79,37,2.5,Fail
55,74,1.0,Pass
100,57,5.0,Pass
52,24,3.5,Pass
97,83,6.0,Pass
94,98,7.5,Pass
85,70,4.5,Pass
76,61,6.5,Pass
59,34,4.0,Pass
70,77,6.0,Pass
98,90,8.0,Pass
88,100,6.5,Pass
100,82,4.5,Pass
71,44,5.0,Pass
50,58,2.0,Pass
59,53,5.5,Pass
73,54,4.0,Pass
47,53,3.0,Pass
58,63,5.5,Pass
78,57,4.0,Fail
78,70,5.5,Pass
36,43,1.0,Pass
35,62,6.0,Pass
67,29,2.5,Pass
46,58,1.5,Pass
90,94,5.5,Pass
57,42,3.0,Pass
93,51,4.5,Fail
63,41,4.5,Pass
94,82,5.5,Pass
73,70,6.0,Pass
96,53,3.0,Pass
43,27,0.5,Fail
81,67,7.5,Pass
79,65,6.5,Pass
94,79,4.5,Pass
62,58,1.5,Pass
100,70,5.5,Pass
45,25,2.0,Pass
41,55,3.0,Pass
94,78,4.5,Pass
48,55,2.5,Fail
97,100,8.0,Pass
69,47,5.0,Fail
46,25,2.5,Pass
69,37,3.0,Fail
48,36,1.5,Pass
43,21,0.5,Fail
84,60,5.0,Pass
72,50,3.5,Fail
100,68,5.0,Pass
60,28,2.0,Pass
90,90,7.5,Pass
42,57,2.0,Fail
79,72,4.5,Pass
73,46,4.0,Pass
56,38,4.0,Pass
69,63,3.0,Pass
100,76,6.5,Pass
56,76,4.0,Pass
52,33,3.5,Pass
41,34,0.5,Fail
52,39,3.0,Pass
